,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium_IV,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Syntrophococcus,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiracea_incertae_sedis,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XI;g__Peptoniphilus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XIII;g__Mogibacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Dialister,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XIII;g__Anaerovorax,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerofilum,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Acetobacterium,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Succinispira,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Phascolarctobacterium,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Enterobacter,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XII;g__Fusibacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVb,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_XVIII,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVa,k__Bacteria;p__Cyanobacteria/Chloroplast;c__Chloroplast;o__;f__Chloroplast;g__Streptophyta,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae_incertae_sedis,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium_XI,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Sporobacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Pseudoflavonifractor,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Howardella,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Coriobacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter
asd_kang-A09,0.0,0.0005512679162072767,0.0,0.003858875413450937,0.007166482910694598,0.0,0.0,0.0,0.01874310915104741,0.0,0.0005512679162072767,0.0,0.0,0.007717750826901874,0.0,0.002205071664829107,0.0,0.1681367144432194,0.0,0.007717750826901874,0.004410143329658214,0.0,0.0,0.0,0.0,0.0,0.002205071664829107,0.0,0.0,0.0,0.0,0.44321940463065046,0.0,0.0,0.028114663726571114,0.0,0.009371554575523704,0.0,0.0,0.0,0.0011025358324145535,0.002205071664829107,0.0,0.0,0.0005512679162072767,0.0005512679162072767,0.0,0.0,0.0,0.0,0.0,0.0011025358324145535,0.0005512679162072767,0.0,0.07442116868798236,0.0
asd_kang-A10,0.0005970149253731343,0.00029850746268656717,0.0,0.0011940298507462687,0.001791044776119403,0.0011940298507462687,0.0,0.0,0.0,0.0,0.003582089552238806,0.0014925373134328358,0.0,0.0,0.0,0.0005970149253731343,0.0,0.0,0.001791044776119403,0.0,0.0,0.00029850746268656717,0.0,0.0008955223880597015,0.0,0.0,0.0,0.0026865671641791043,0.0,0.0,0.0,0.060000000000000005,0.0,0.0,0.0023880597014925373,0.0,0.0011940298507462687,0.0,0.0005970149253731343,0.00029850746268656717,0.0011940298507462687,0.0059701492537313425,0.0,0.0008955223880597015,0.00029850746268656717,0.019402985074626865,0.0,0.0,0.0,0.0005970149253731343,0.0,0.0005970149253731343,0.0,0.7937313432835821,0.0,0.0
asd_kang-A11,0.0,0.0,0.0006675567423230974,0.0006675567423230974,0.12817089452603472,0.0,0.0,0.0,0.0006675567423230974,0.0,0.019359145527369826,0.010680907877169559,0.0,0.0026702269692923898,0.0,0.0013351134846461949,0.0,0.012016021361815754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008010680907877168,0.0013351134846461949,0.0013351134846461949,0.0,0.03004005340453939,0.0,0.0,0.016688918558077435,0.0006675567423230974,0.010013351134846462,0.5367156208277704,0.0006675567423230974,0.0,0.0,0.0006675567423230974,0.0,0.0,0.0,0.0006675567423230974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14686248331108143,0.0,0.0
asd_kang-A12,0.0,0.012607830126078303,0.0,0.0,0.013603185136031851,0.0,0.0,0.0,0.0026542800265428007,0.0033178500331785005,0.0046449900464499,0.0,0.0,0.0006635700066357001,0.0,0.00099535500995355,0.0,0.22329130723291307,0.0,0.0,0.0009953550099535502,0.0,0.0,0.0,0.0,0.0,0.003981420039814201,0.0,0.0,0.007962840079628402,0.0,0.03251493032514931,0.0,0.0,0.020570670205706704,0.0,0.0099535500995355,0.5202388852023889,0.0079628400796284,0.0,0.0006635700066357001,0.0053085600530856005,0.0,0.0,0.0,0.0029860650298606504,0.0,0.0,0.0,0.015925680159256803,0.0043132050431320505,0.00033178500331785003,0.0,0.0,0.0006635700066357001,0.0
asd_kang-A13,0.0,0.031630170316301706,0.0,0.0,0.046228710462287104,0.0,0.0,0.0,0.0,0.012165450121654502,0.0,0.0,0.0,0.043795620437956206,0.0,0.18491484184914841,0.0,0.009732360097323601,0.0,0.1021897810218978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3041362530413625,0.0,0.0,0.17274939172749393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0364963503649635,0.0072992700729927005,0.0,0.0,0.024330900243309004,0.0,0.0,0.0,0.0,0.0,0.0
asd_kang-A14,0.0,0.002973977695167286,0.0,0.0,0.016356877323420074,0.0,0.0,0.0,0.0037174721189591076,0.028996282527881043,0.008178438661710037,0.0,0.007434944237918215,0.006691449814126394,0.0,0.012639405204460968,0.0,0.1278810408921933,0.0,0.005947955390334572,0.0,0.0,0.0,0.0,0.0,0.0,0.0007434944237918215,0.0,0.0,0.0,0.0,0.2847583643122677,0.0,0.0044609665427509295,0.07360594795539034,0.0,0.006691449814126393,0.0,0.0,0.0,0.001486988847583643,0.008921933085501859,0.0,0.0,0.02453531598513011,0.12639405204460966,0.0,0.0,0.0,0.0007434944237918215,0.0,0.0,0.0,0.11375464684014869,0.0,0.0
asd_kang-A15,0.0,0.0,0.0,0.0010030090270812437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051153460381143434,0.0,0.0,0.0,0.0030090270812437314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02708124373119358,0.0,0.0,0.0,0.17452357071213642,0.0,0.015045135406218655,0.5977933801404214,0.0160481444332999,0.017051153460381142,0.02708124373119358,0.0010030090270812437,0.0,0.0,0.0,0.0010030090270812437,0.0,0.0,0.0,0.026078234704112337,0.0,0.0,0.0,0.01805416248746239,0.0,0.0
asd_kang-A16,0.0,0.004739336492890996,0.001184834123222749,0.0,0.15639810426540282,0.002369668246445498,0.0,0.002369668246445498,0.0,0.0,0.0059241706161137445,0.0,0.0,0.001184834123222749,0.0,0.042654028436018954,0.0,0.07819905213270142,0.023696682464454975,0.0,0.0,0.0,0.0,0.0,0.0,0.001184834123222749,0.002369668246445498,0.0035545023696682463,0.0,0.001184834123222749,0.0,0.048578199052132696,0.0,0.0,0.0462085308056872,0.0,0.02132701421800948,0.001184834123222749,0.002369668246445498,0.0,0.001184834123222749,0.008293838862559242,0.0,0.0,0.0071090047393364926,0.07227488151658769,0.0,0.0,0.0,0.001184834123222749,0.00829383886255924,0.0,0.001184834123222749,0.1018957345971564,0.0,0.0
asd_kang-A17,0.014196479273140262,0.0056785917092561046,0.0,0.0,0.020442930153321975,0.0,0.0056785917092561046,0.0,0.0,0.005110732538330494,0.0005678591709256105,0.0017035775127768314,0.0,0.0005678591709256105,0.0,0.0005678591709256105,0.0,0.7098239636570131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017035775127768314,0.0,0.001135718341851221,0.018171493469619535,0.0,0.048268029528676884,0.0,0.0,0.0,0.0,0.017035775127768313,0.0,0.0005678591709256105,0.0,0.001135718341851221,0.001135718341851221,0.0,0.0,0.0,0.0028392958546280523,0.0,0.0,0.0,0.005110732538330494,0.0,0.0,0.0,0.0,0.0,0.0
asd_kang-A18,0.0,0.0030983733539891554,0.0,0.024012393493415957,0.02323780015491867,0.0,0.0,0.0,0.000774593338497289,0.0,0.0,0.0,0.0,0.011618900077459334,0.0,0.020914020139426802,0.0,0.10611928737412858,0.0030983733539891554,0.003098373353989156,0.0,0.0,0.0,0.0,0.019364833462432222,0.0023237800154918666,0.012393493415956622,0.010069713400464756,0.0,0.0,0.0,0.08752904725019364,0.0,0.0,0.06196746707978311,0.000774593338497289,0.009295120061967466,0.0,0.003098373353989156,0.0,0.000774593338497289,0.0038729666924864447,0.0,0.0,0.0023237800154918666,0.0023237800154918666,0.0,0.0,0.05034856700232378,0.0,0.0,0.0,0.0023237800154918666,0.5135553834237024,0.000774593338497289,0.0
